monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---, ---, CSIRO94, ---, ---, MPI-2009, ---
2001.6250, 2001, 8, 795, 257.791, 0.433, 789, 545.415, 0.458, 863, 37.245, 0.520, 727, 95.780, 0.318, 760, 316.591, 0.203, 784, 81.168, 0.222, 751, 1826.469, 14.859, 725, 10.432, 1.167, 647, 83.987, 6.068, 779, 497.751, 9.852
2001.7084, 2001, 9, 750, 257.934, 0.561, 659, 545.777, 0.570, 869, 36.504, 0.535, 852, 95.811, 0.367, 619, 316.704, 0.237, 823, 81.242, 0.224, 615, 1833.856, 14.855, 537, 11.045, 1.395, 631, 89.303, 6.163, 696, 487.160, 11.876
2001.7916, 2001, 10, 730, 258.204, 0.437, 732, 546.591, 0.616, 759, 36.059, 0.495, 734, 95.883, 0.358, 581, 317.047, 0.241, 763, 81.100, 0.249, 661, 1843.847, 11.276, 648, 11.572, 1.038, 748, 99.631, 7.575, 813, 490.226, 10.816
2001.8750, 2001, 11, 886, 258.349, 0.287, 885, 546.914, 0.424, 932, 35.709, 0.819, 932, 96.003, 0.432, 833, 317.231, 0.176, 927, 81.052, 0.198, 882, 1841.402, 14.100, 795, 10.957, 1.108, 848, 103.486, 8.427, 843, 495.242, 11.470
2001.9584, 2001, 12, 640, 258.376, 0.297, 680, 547.117, 0.438, 934, 35.498, 0.848, 937, 95.994, 0.408, 577, 317.419, 0.186, 931, 81.118, 0.203, 578, 1845.954, 14.205, 527, 11.196, 1.144, 527, 113.252, 9.092, 723, 500.582, 10.958
2002.0416, 2002, 1, 788, 258.113, 0.353, 764, 546.988, 0.488, 893, 35.205, 0.867, 907, 95.780, 0.504, 681, 317.559, 0.176, 905, 81.072, 0.212, 701, 1845.991, 10.569, 740, 11.185, 1.015, 663, 124.599, 6.739, 839, 507.294, 7.415
2002.1250, 2002, 2, 747, 257.897, 0.359, 762, 546.839, 0.507, 740, 34.909, 0.940, 779, 95.599, 0.604, 766, 317.638, 0.194, 787, 81.111, 0.267, 757, 1846.590, 11.177, 722, 10.691, 0.992, 739, 129.790, 7.765, 754, 514.480, 6.681
2002.2084, 2002, 3, 742, 257.757, 0.341, 784, 546.867, 0.444, 894, 34.715, 0.641, 899, 95.472, 0.449, 723, 317.785, 0.182, 912, 81.027, 0.236, 653, 1852.612, 10.557, 607, 10.973, 0.853, 677, 137.630, 7.976, 893, 515.819, 8.566
2002.2916, 2002, 4, 592, 257.326, 0.371, 593, 546.513, 0.485, 692, 34.268, 0.527, 684, 95.417, 0.337, 470, 317.731, 0.183, 485, 80.885, 0.251, 521, 1845.953, 11.644, 457, 10.598, 0.794, 523, 132.488, 8.749, 627, 518.455, 7.799
2002.3750, 2002, 5, 669, 257.005, 0.341, 705, 546.412, 0.463, 815, 33.685, 0.508, 808, 95.292, 0.308, 593, 317.734, 0.211, 806, 80.771, 0.213, 582, 1842.046, 8.526, 506, 10.505, 0.758, 659, 120.489, 7.962, 789, 522.109, 6.815
2002.4584, 2002, 6, 863, 256.298, 0.296, 869, 545.961, 0.430, 914, 32.569, 0.555, 913, 95.020, 0.300, 794, 317.626, 0.208, 809, 80.484, 0.275, 819, 1828.775, 8.035, 812, 10.034, 0.798, 838, 98.062, 7.649, 898, 522.668, 9.835
2002.5416, 2002, 7, 824, 255.916, 0.254, 809, 545.659, 0.420, 856, 31.762, 0.578, 863, 94.752, 0.364, 738, 317.415, 0.189, 724, 80.392, 0.262, 754, 1821.232, 10.884, 682, 10.596, 1.007, 530, 89.275, 4.948, 758, 515.747, 14.226
2002.6250, 2002, 8, 653, 255.531, 0.361, 609, 545.405, 0.504, 701, 30.827, 0.525, 697, 94.756, 0.289, 589, 317.286, 0.249, 455, 80.245, 0.246, 492, 1818.846, 17.907, 531, 10.198, 1.433, 600, 90.066, 12.306, 464, 515.975, 20.726
2002.7084, 2002, 9, 393, 255.480, 0.380, 525, 545.803, 0.676, 913, 30.548, 0.442, 902, 94.892, 0.355, 331, 317.476, 0.281, 827, 80.487, 0.227, 336, 1844.903, 13.660, 337, 11.863, 1.273, 509, 120.302, 10.347, 809, 504.402, 14.405
2002.7916, 2002, 10, 645, 255.583, 0.334, 637, 546.190, 0.526, 768, 30.098, 0.478, 789, 94.872, 0.356, 501, 317.671, 0.252, 775, 80.462, 0.233, 501, 1853.890, 12.264, 422, 12.025, 1.037, 613, 132.352, 10.231, 658, 492.467, 15.849
2002.8750, 2002, 11, 754, 255.845, 0.370, 781, 546.723, 0.490, 817, 29.623, 0.478, 801, 94.928, 0.371, 739, 317.964, 0.230, 800, 80.455, 0.225, 615, 1851.894, 13.528, 479, 11.597, 0.773, 710, 133.905, 7.869, 697, 504.527, 9.636
2002.9584, 2002, 12, 533, 256.125, 0.485, 593, 547.048, 0.513, 844, 29.541, 0.452, 760, 95.060, 0.457, 506, 318.262, 0.264, 799, 80.542, 0.255, 439, 1858.504, 18.478, 240, 11.837, 0.912, 398, 139.454, 7.232, 794, 510.822, 8.959
2003.0416, 2003, 1, 809, 255.681, 0.320, 804, 546.922, 0.469, 874, 29.331, 0.471, 878, 94.845, 0.363, 719, 318.241, 0.190, 882, 80.520, 0.210, 573, 1855.060, 20.348, 591, 11.421, 0.907, 518, 148.846, 6.042, 858, 514.369, 8.787
2003.1250, 2003, 2, 461, 255.530, 0.277, 507, 546.887, 0.469, 731, 29.335, 0.473, 718, 94.762, 0.364, 406, 318.352, 0.243, 750, 80.440, 0.236, 453, 1859.171, 15.327, 434, 11.539, 0.792, 444, 156.204, 6.944, 588, 522.299, 8.655
2003.2084, 2003, 3, 530, 255.600, 0.289, 574, 546.864, 0.499, 946, 29.221, 0.454, 876, 94.677, 0.403, 495, 318.671, 0.229, 936, 80.300, 0.219, 565, 1862.586, 16.432, 493, 11.416, 0.846, 521, 160.343, 7.163, 749, 528.378, 9.947
2003.2916, 2003, 4, 464, 255.638, 0.486, 591, 547.068, 0.544, 872, 28.754, 0.453, 831, 94.718, 0.422, 322, 318.860, 0.242, 836, 80.177, 0.334, 322, 1860.715, 14.175, 341, 11.643, 0.877, 386, 157.956, 10.156, 835, 527.182, 9.268
2003.3750, 2003, 5, 732, 255.179, 0.324, 762, 546.509, 0.434, 834, 28.288, 0.511, 820, 94.499, 0.347, 699, 318.752, 0.192, 749, 80.043, 0.244, 737, 1848.834, 9.822, 689, 10.476, 0.701, 826, 143.672, 10.082, 812, 531.125, 8.409
2003.4584, 2003, 6, 831, 254.622, 0.287, 883, 546.064, 0.416, 941, 27.670, 0.414, 929, 94.366, 0.268, 732, 318.633, 0.208, 843, 79.665, 0.310, 731, 1841.903, 7.347, 723, 10.137, 0.704, 838, 128.695, 8.435, 941, 529.425, 9.381
2003.5416, 2003, 7, 779, 254.126, 0.361, 811, 545.753, 0.519, 911, 26.924, 0.425, 917, 94.231, 0.272, 757, 318.450, 0.262, 723, 79.450, 0.286, 657, 1837.198, 13.006, 647, 10.721, 1.097, 897, 116.111, 9.431, 881, 522.166, 10.529
2003.6250, 2003, 8, 628, 253.592, 0.344, 686, 545.294, 0.522, 813, 26.151, 0.467, 802, 94.018, 0.294, 543, 318.151, 0.253, 612, 79.556, 0.251, 516, 1837.246, 19.373, 435, 10.751, 1.523, 758, 115.704, 13.982, 713, 511.865, 13.347
2003.7084, 2003, 9, 672, 253.642, 0.351, 749, 545.567, 0.577, 812, 25.773, 0.397, 801, 93.977, 0.298, 645, 318.241, 0.243, 680, 79.540, 0.206, 689, 1845.788, 19.994, 627, 11.181, 1.484, 746, 121.723, 13.187, 658, 494.862, 13.665
2003.7916, 2003, 10, 590, 254.132, 0.365, 640, 545.995, 0.446, 826, 25.376, 0.398, 814, 94.109, 0.305, 583, 318.364, 0.203, 820, 79.713, 0.213, 585, 1856.283, 17.573, 504, 11.977, 1.611, 685, 123.544, 13.524, 699, 484.699, 11.148
2003.8750, 2003, 11, 728, 254.397, 0.278, 743, 546.245, 0.480, 823, 25.085, 0.453, 816, 94.111, 0.342, 708, 318.547, 0.194, 827, 79.735, 0.212, 780, 1857.011, 11.086, 713, 11.966, 1.048, 732, 130.353, 8.862, 749, 494.870, 11.571
2003.9584, 2003, 12, 825, 254.463, 0.298, 849, 546.505, 0.392, 922, 24.809, 0.395, 921, 94.083, 0.278, 709, 318.770, 0.180, 921, 79.767, 0.187, 661, 1861.954, 12.861, 448, 11.663, 0.952, 721, 137.003, 8.706, 908, 499.201, 9.971
2004.0416, 2004, 1, 811, 254.146, 0.375, 812, 546.293, 0.400, 829, 24.594, 0.431, 835, 93.816, 0.357, 792, 318.818, 0.185, 845, 79.740, 0.211, 803, 1857.146, 13.798, 688, 11.299, 0.881, 805, 137.500, 9.864, 829, 509.273, 8.353
2004.1250, 2004, 2, 682, 254.025, 0.408, 674, 546.298, 0.441, 716, 24.405, 0.402, 716, 93.721, 0.317, 604, 318.906, 0.204, 714, 79.694, 0.204, 578, 1861.554, 13.123, 509, 11.647, 0.956, 627, 150.270, 9.953, 714, 515.101, 8.116
2004.2084, 2004, 3, 705, 253.809, 0.379, 742, 546.197, 0.480, 900, 24.226, 0.458, 885, 93.686, 0.317, 710, 319.027, 0.199, 894, 79.640, 0.225, 662, 1860.041, 12.048, 731, 11.654, 0.891, 643, 156.831, 9.725, 854, 524.835, 8.014
2004.2916, 2004, 4, 807, 253.352, 0.326, 804, 545.677, 0.413, 854, 23.864, 0.434, 838, 93.472, 0.315, 771, 318.927, 0.196, 848, 79.477, 0.254, 845, 1854.376, 11.144, 738, 11.317, 0.883, 829, 148.410, 8.720, 860, 528.154, 6.591
2004.3750, 2004, 5, 808, 253.294, 0.388, 814, 545.623, 0.499, 889, 23.456, 0.436, 888, 93.491, 0.327, 667, 318.948, 0.198, 882, 79.334, 0.249, 702, 1849.746, 13.417, 592, 10.723, 1.038, 852, 133.017, 12.277, 868, 526.263, 8.325
2004.4584, 2004, 6, 789, 252.676, 0.371, 802, 545.045, 0.460, 850, 22.713, 0.436, 834, 93.420, 0.295, 755, 318.788, 0.215, 796, 79.121, 0.253, 787, 1831.449, 13.481, 725, 10.175, 1.018, 845, 100.533, 8.195, 747, 524.357, 8.702
2004.5416, 2004, 7, 825, 252.016, 0.384, 840, 544.380, 0.490, 878, 22.120, 0.417, 883, 93.248, 0.281, 795, 318.491, 0.217, 856, 78.919, 0.304, 827, 1828.682, 9.139, 714, 10.568, 0.898, 702, 92.299, 7.096, 835, 515.120, 9.654
2004.6250, 2004, 8, 715, 251.613, 0.397, 739, 544.039, 0.447, 818, 21.527, 0.395, 812, 92.994, 0.282, 491, 318.372, 0.187, 706, 79.009, 0.222, 457, 1834.975, 7.582, 460, 11.492, 1.051, 535, 98.855, 3.728, 705, 507.586, 11.781
2004.7084, 2004, 9, 718, 251.528, 0.400, 757, 544.121, 0.546, 776, 21.080, 0.474, 834, 92.904, 0.360, 672, 318.471, 0.239, 764, 79.016, 0.271, 602, 1842.937, 10.016, 641, 10.913, 1.222, 633, 98.181, 9.835, 361, 497.620, 9.300
2004.7916, 2004, 10, 770, 251.839, 0.366, 838, 544.689, 0.524, 925, 20.926, 0.416, 905, 92.955, 0.340, 648, 318.810, 0.274, 930, 79.094, 0.205, 592, 1851.181, 9.305, 536, 12.290, 1.046, 699, 111.167, 6.038, 900, 485.022, 9.180
2004.8750, 2004, 11, 648, 252.010, 0.248, 703, 545.034, 0.424, 753, 20.664, 0.467, 761, 92.963, 0.322, 630, 319.082, 0.203, 774, 79.131, 0.173, 694, 1845.549, 12.077, 606, 11.623, 1.174, 693, 116.425, 8.896, 753, 496.809, 12.442
2004.9584, 2004, 12, 795, 252.051, 0.281, 836, 545.377, 0.435, 896, 20.428, 0.409, 888, 92.888, 0.340, 785, 319.313, 0.198, 906, 79.169, 0.204, 743, 1848.715, 12.786, 731, 11.346, 0.864, 839, 127.318, 9.106, 842, 506.543, 9.372
2005.0416, 2005, 1, 819, 251.821, 0.300, 863, 545.262, 0.432, 837, 20.244, 0.470, 831, 92.720, 0.371, 848, 319.422, 0.188, 840, 79.163, 0.217, 895, 1848.165, 12.571, 632, 11.242, 0.828, 901, 135.861, 8.493, 911, 513.440, 7.724
2005.1250, 2005, 2, 703, 251.727, 0.296, 710, 545.227, 0.469, 789, 20.098, 0.346, 783, 92.638, 0.299, 679, 319.553, 0.202, 785, 79.139, 0.186, 612, 1848.028, 13.692, 440, 10.906, 0.726, 616, 142.905, 9.198, 776, 521.854, 6.547
2005.2084, 2005, 3, 643, 251.493, 0.294, 656, 545.164, 0.489, 890, 19.903, 0.370, 867, 92.503, 0.329, 520, 319.592, 0.218, 891, 79.055, 0.201, 604, 1848.448, 11.101, 433, 10.934, 0.617, 692, 147.609, 7.816, 863, 529.166, 6.223
2005.2916, 2005, 4, 643, 251.417, 0.287, 497, 545.199, 0.532, 821, 19.808, 0.355, 808, 92.528, 0.320, 377, 319.750, 0.253, 533, 79.035, 0.223, 636, 1856.900, 9.854, 514, 11.067, 0.540, 673, 153.728, 6.844, 840, 530.660, 5.022
2005.3750, 2005, 5, 728, 251.261, 0.350, 785, 544.987, 0.540, 778, 19.483, 0.391, 741, 92.508, 0.313, 681, 319.861, 0.272, , , , 633, 1852.490, 10.383, 508, 10.746, 0.773, 698, 132.601, 9.009, 805, 530.178, 5.726
2005.4584, 2005, 6, 649, 250.758, 0.273, 668, 544.474, 0.599, 76, 19.005, 0.322, 682, 92.374, 0.305, 622, 319.702, 0.318, , , , 614, 1832.304, 10.715, 511, 9.950, 0.777, 693, 102.364, 5.666, 714, 528.292, 8.505
2005.5416, 2005, 7, 710, 250.299, 0.458, 800, 544.173, 0.592, 182, 18.530, 0.344, 826, 92.332, 0.378, 723, 319.649, 0.298, , , , 685, 1827.911, 12.992, 518, 10.312, 1.134, 736, 93.261, 5.186, 758, 514.463, 10.149
2005.6250, 2005, 8, 793, 249.485, 0.347, 903, 543.566, 0.578, 917, 18.272, 0.416, 888, 92.580, 0.346, 814, 319.438, 0.310, , , , 830, 1834.064, 11.386, 709, 10.768, 1.127, 692, 93.018, 4.364, 848, 502.778, 7.854
2005.7084, 2005, 9, 792, 249.293, 0.341, 814, 543.544, 0.610, 871, 17.896, 0.397, 854, 92.413, 0.344, 717, 319.452, 0.287, 586, 78.257, 0.231, 425, 1845.437, 8.452, 625, 10.950, 1.018, 526, 102.139, 3.105, 811, 498.889, 9.378
2005.7916, 2005, 10, 754, 249.457, 0.356, 800, 543.773, 0.567, 884, 17.687, 0.436, 829, 92.448, 0.323, 596, 319.572, 0.275, 879, 78.313, 0.223, 654, 1850.978, 9.495, 587, 11.518, 0.813, 767, 107.092, 5.207, 882, 494.643, 7.540
2005.8750, 2005, 11, 707, 249.552, 0.291, 757, 544.039, 0.514, 846, 17.483, 0.379, 842, 92.409, 0.317, 650, 319.757, 0.214, 826, 78.292, 0.222, 676, 1851.472, 9.099, 607, 11.672, 0.811, 669, 122.258, 7.168, 834, 495.929, 8.691
2005.9584, 2005, 12, 864, 249.644, 0.304, 883, 544.325, 0.471, 915, 17.199, 0.374, 913, 92.250, 0.302, 675, 319.999, 0.214, 918, 78.337, 0.187, 628, 1852.948, 14.860, 580, 11.382, 1.029, 645, 128.776, 9.754, 895, 503.868, 10.649
2006.0416, 2006, 1, 570, 249.386, 0.344, 688, 544.311, 0.608, 846, 17.139, 0.364, 790, 92.112, 0.344, 558, 320.113, 0.246, 836, 78.338, 0.202, 511, 1850.613, 15.721, 488, 11.381, 0.909, 529, 136.284, 8.861, 837, 515.651, 8.716
2006.1250, 2006, 2, 531, 249.370, 0.346, 664, 544.558, 0.503, 716, 16.927, 0.320, 700, 91.920, 0.326, 394, 320.372, 0.228, 710, 78.357, 0.197, 426, 1860.097, 14.779, 426, 11.429, 0.902, 413, 148.295, 9.160, 683, 524.467, 7.962
2006.2084, 2006, 3, 803, 248.891, 0.340, 829, 544.037, 0.477, 956, 16.796, 0.379, 935, 91.717, 0.341, 756, 320.303, 0.209, 947, 78.272, 0.221, 641, 1856.395, 17.519, 660, 11.191, 0.939, 596, 149.783, 11.192, 662, 529.316, 6.605
2006.2916, 2006, 4, 736, 248.563, 0.284, 743, 543.655, 0.432, 754, 16.631, 0.355, 766, 91.679, 0.296, 703, 320.298, 0.174, 348, 78.176, 0.218, 748, 1854.197, 11.186, 624, 10.956, 0.689, 757, 148.842, 9.567, , , 
2006.3750, 2006, 5, 828, 248.261, 0.296, 855, 543.373, 0.436, 926, 16.369, 0.361, 915, 91.614, 0.282, 715, 320.419, 0.198, , , , 735, 1850.724, 16.524, 670, 10.749, 0.910, 654, 134.250, 9.570, , , 
2006.4584, 2006, 6, 772, 247.827, 0.411, 862, 542.860, 0.624, 914, 16.051, 0.346, 910, 91.457, 0.305, 638, 320.238, 0.255, , , , 711, 1845.080, 13.499, 558, 10.586, 0.778, 815, 115.300, 7.508, 822, 531.897, 12.461
2006.5416, 2006, 7, 652, 247.226, 0.328, 761, 542.165, 0.545, 849, 15.572, 0.356, 830, 91.335, 0.271, 573, 320.184, 0.250, , , , 691, 1836.130, 18.532, 478, 11.013, 1.045, 610, 97.242, 7.664, 762, 516.914, 11.365
2006.6250, 2006, 8, 688, 246.624, 0.288, 728, 541.481, 0.646, 750, 15.096, 0.329, 741, 90.910, 0.329, 702, 319.970, 0.284, 649, 77.309, 0.235, 686, 1827.172, 21.263, 510, 11.147, 1.612, 579, 87.288, 6.046, 744, 506.763, 14.126
2006.7084, 2006, 9, 506, 246.806, 0.295, 563, 541.367, 0.560, 511, 14.828, 0.355, 575, 91.047, 0.278, 464, 320.043, 0.302, 517, 77.417, 0.191, 571, 1838.087, 17.983, 464, 11.100, 1.179, 463, 96.651, 5.634, 455, 505.251, 13.033
2006.7916, 2006, 10, 625, 247.153, 0.251, 685, 541.703, 0.541, 840, 14.670, 0.281, 732, 91.063, 0.239, 539, 320.315, 0.317, 766, 77.457, 0.210, 580, 1844.676, 12.307, 461, 11.385, 0.755, 584, 104.498, 4.249, 712, 499.609, 10.456
2006.8750, 2006, 11, 819, 247.336, 0.268, 872, 541.976, 0.451, 883, 14.514, 0.308, 878, 91.059, 0.262, 788, 320.593, 0.236, 890, 77.626, 0.194, 795, 1850.311, 9.193, 670, 11.365, 0.588, 696, 118.109, 4.556, 656, 505.017, 11.008
2006.9584, 2006, 12, 598, 247.360, 0.285, 782, 542.267, 0.544, 851, 14.354, 0.406, 838, 91.039, 0.321, 622, 320.801, 0.263, 881, 77.629, 0.227, 628, 1852.530, 10.026, 546, 11.388, 0.651, 511, 127.764, 4.422, 722, 520.385, 14.178
2007.0416, 2007, 1, 876, 247.210, 0.252, 894, 542.105, 0.454, 861, 14.234, 0.449, 898, 90.759, 0.309, 886, 320.956, 0.222, 913, 77.696, 0.209, 927, 1853.457, 10.381, 812, 11.280, 0.715, 852, 136.730, 5.155, , , 
2007.1250, 2007, 2, 685, 247.109, 0.244, 762, 542.050, 0.459, 769, 14.124, 0.413, 809, 90.550, 0.279, 698, 321.159, 0.215, 814, 77.615, 0.207, 642, 1859.220, 12.177, 503, 11.619, 0.723, 555, 145.282, 5.077, , , 
2007.2084, 2007, 3, 791, 246.917, 0.288, 895, 541.894, 0.606, 448, 14.064, 0.435, 915, 90.523, 0.309, 791, 321.146, 0.278, 935, 77.587, 0.251, 787, 1859.215, 11.001, 708, 11.422, 0.674, 623, 149.189, 6.457, 953, 520.597, 5.148
2007.2916, 2007, 4, 689, 246.828, 0.312, 816, 541.781, 0.545, 321, 14.007, 0.388, 876, 90.529, 0.307, 611, 321.386, 0.274, 683, 77.167, 0.332, 542, 1860.675, 14.808, 358, 11.030, 0.863, 473, 144.624, 7.758, 794, 524.024, 7.549
2007.3750, 2007, 5, 791, 246.731, 0.265, 873, 541.528, 0.602, 665, 13.664, 0.359, 885, 90.713, 0.286, 801, 321.231, 0.315, 902, 77.062, 0.280, 801, 1852.081, 12.346, 616, 10.869, 0.937, 833, 132.055, 7.379, 929, 524.516, 6.445
2007.4584, 2007, 6, 626, 246.462, 0.333, 835, 541.171, 0.588, 902, 13.336, 0.362, 877, 90.650, 0.287, 491, 321.264, 0.307, 902, 76.841, 0.276, 487, 1845.630, 13.871, 372, 10.969, 1.112, 669, 108.309, 9.237, 853, 519.723, 7.044
2007.5416, 2007, 7, 821, 246.010, 0.249, 864, 540.456, 0.461, 828, 13.012, 0.335, 875, 90.234, 0.306, 767, 321.125, 0.276, 893, 76.670, 0.273, 836, 1842.238, 13.610, 668, 11.122, 0.995, 864, 90.961, 5.259, 932, 514.709, 7.393
2007.6250, 2007, 8, 888, 245.615, 0.239, 925, 540.088, 0.398, 952, 12.642, 0.332, 955, 89.973, 0.231, 861, 320.984, 0.218, 960, 76.737, 0.232, 889, 1839.623, 17.390, 787, 10.592, 1.425, 777, 86.645, 4.133, 801, 503.210, 7.354
2007.7084, 2007, 9, 772, 245.549, 0.281, 839, 540.073, 0.435, 878, 12.377, 0.295, 869, 89.871, 0.256, 698, 321.140, 0.238, 885, 76.704, 0.214, 707, 1852.627, 18.193, 597, 10.714, 1.285, 773, 92.280, 5.310, 683, 493.279, 12.158
2007.7916, 2007, 10, 592, 245.638, 0.253, 737, 540.322, 0.471, 902, 12.273, 0.319, 882, 89.839, 0.263, 515, 321.373, 0.209, 903, 76.636, 0.247, 591, 1859.555, 15.371, 577, 11.427, 1.142, 604, 102.938, 5.642, 911, 496.636, 10.735
2007.8750, 2007, 11, 694, 245.786, 0.259, 759, 540.435, 0.481, 799, 12.103, 0.373, 805, 89.918, 0.323, 676, 321.581, 0.220, 811, 76.799, 0.202, 698, 1857.578, 12.414, 624, 11.134, 1.006, 520, 111.395, 9.865, 788, 503.397, 9.107
2007.9584, 2007, 12, 684, 245.686, 0.329, 793, 540.429, 0.571, 859, 12.072, 0.453, 848, 90.012, 0.370, 645, 321.709, 0.285, 868, 76.692, 0.314, 744, 1865.375, 11.379, 607, 11.513, 0.985, 694, 127.038, 7.481, 932, 507.062, 6.762
2008.0416, 2008, 1, 815, 245.504, 0.310, 833, 540.177, 0.518, 817, 11.934, 0.465, 845, 89.649, 0.428, 790, 321.887, 0.242, 834, 76.991, 0.316, 845, 1867.092, 13.550, 620, 11.487, 0.894, 783, 138.646, 8.507, 912, 513.738, 6.754
2008.1250, 2008, 2, 569, 245.291, 0.291, 646, 540.094, 0.578, 859, 11.895, 0.436, 816, 89.398, 0.413, 571, 322.031, 0.257, 849, 77.105, 0.278, 600, 1868.156, 14.099, 540, 11.488, 0.838, 545, 145.616, 8.036, 775, 523.156, 6.779
2008.2084, 2008, 3, 841, 245.097, 0.293, 879, 539.722, 0.566, 862, 11.764, 0.449, 879, 89.457, 0.350, 848, 322.116, 0.260, 900, 76.988, 0.277, 883, 1874.343, 11.290, 693, 11.547, 0.899, 837, 155.120, 8.097, 930, 526.428, 5.076
2008.2916, 2008, 4, 739, 244.862, 0.330, 841, 539.535, 0.528, 865, 11.630, 0.382, 870, 89.383, 0.325, 695, 322.194, 0.244, 782, 76.916, 0.287, 746, 1870.731, 19.526, 669, 11.722, 1.495, 602, 150.868, 13.534, 782, 529.861, 4.594
2008.3750, 2008, 5, 593, 244.797, 0.303, 860, 539.283, 0.629, 926, 11.432, 0.374, 901, 89.341, 0.323, 414, 322.440, 0.301, 630, 76.781, 0.331, 504, 1884.008, 16.598, 414, 12.570, 1.341, 372, 139.172, 8.253, 855, 530.549, 5.960
2008.4584, 2008, 6, 757, 244.142, 0.290, 811, 538.492, 0.522, 819, 11.145, 0.386, 823, 89.152, 0.300, 722, 321.998, 0.239, 819, 76.612, 0.250, 774, 1849.967, 14.257, 686, 10.682, 1.212, 763, 107.748, 9.361, 735, 527.910, 4.754
2008.5416, 2008, 7, 832, 243.786, 0.303, 892, 537.966, 0.634, 969, 10.885, 0.371, 964, 88.973, 0.279, 730, 321.951, 0.316, 828, 76.511, 0.278, 673, 1842.148, 10.314, 599, 10.578, 0.871, 685, 92.426, 4.573, 952, 520.699, 7.253
2008.6250, 2008, 8, 751, 243.489, 0.282, 783, 537.506, 0.563, 812, 10.561, 0.373, 817, 88.806, 0.284, 733, 321.884, 0.257, 748, 76.319, 0.257, 728, 1845.365, 15.756, 553, 10.689, 1.381, 566, 91.110, 6.038, 751, 514.882, 10.373
2008.7084, 2008, 9, 730, 243.349, 0.389, 765, 537.290, 0.520, 785, 10.425, 0.332, 804, 88.717, 0.297, 665, 321.892, 0.267, 788, 76.227, 0.295, 520, 1862.845, 9.453, 447, 11.721, 0.871, 625, 91.636, 2.343, 742, 499.340, 9.758
2008.7916, 2008, 10, 903, 243.998, 0.295, 894, 537.857, 0.500, 754, 10.269, 0.423, 921, 88.936, 0.313, 878, 322.225, 0.223, 930, 76.362, 0.237, 572, 1867.502, 9.135, 814, 11.806, 0.908, 537, 101.130, 4.967, 570, 492.023, 6.296
2008.8750, 2008, 11, 793, 244.144, 0.277, 870, 537.961, 0.524, 883, 10.184, 0.396, 882, 88.917, 0.305, 785, 322.470, 0.242, 876, 76.340, 0.242, 778, 1870.419, 12.572, 635, 11.913, 0.977, 772, 108.354, 6.664, 774, 495.329, 8.071
2008.9584, 2008, 12, 707, 244.191, 0.308, 771, 538.046, 0.584, 798, 9.840, 0.568, 779, 88.855, 0.287, 664, 322.740, 0.320, 800, 76.367, 0.214, 568, 1873.347, 12.994, 487, 11.863, 0.952, 571, 116.008, 6.662, 795, 504.242, 8.469
2009.0416, 2009, 1, 786, 243.857, 0.358, 866, 537.822, 0.541, 832, 10.001, 0.385, 812, 88.478, 0.323, 763, 322.811, 0.268, 803, 76.390, 0.300, 732, 1875.649, 11.288, 600, 11.436, 0.686, 691, 126.860, 5.717, 919, 510.056, 6.004
2009.1250, 2009, 2, 651, 243.424, 0.313, 772, 537.487, 0.543, 804, 9.853, 0.331, 785, 88.358, 0.303, 697, 322.763, 0.268, 754, 76.376, 0.219, 673, 1869.225, 13.392, 529, 10.794, 0.762, 610, 130.631, 7.493, 795, 519.116, 6.514
2009.2084, 2009, 3, 849, 243.050, 0.274, 913, 537.016, 0.557, 959, 9.814, 0.351, 973, 88.207, 0.283, 868, 322.749, 0.273, 959, 76.340, 0.302, 865, 1870.150, 12.019, 803, 10.723, 0.634, 864, 139.705, 8.918, 960, 523.999, 4.954
2009.2916, 2009, 4, 786, 242.827, 0.270, 887, 536.672, 0.564, 861, 9.580, 0.527, 907, 88.090, 0.293, 747, 322.836, 0.356, 911, 76.193, 0.276, 703, 1876.711, 9.878, 570, 10.868, 0.616, 792, 140.699, 6.565, 864, 524.853, 4.475
2009.3750, 2009, 5, 769, 242.652, 0.263, 880, 536.311, 0.487, 875, 9.556, 0.448, 871, 88.045, 0.286, 784, 322.763, 0.262, 799, 76.165, 0.288, 772, 1867.582, 10.776, 683, 10.407, 0.722, 804, 127.081, 10.131, 917, 526.335, 5.058
2009.4584, 2009, 6, 610, 242.635, 0.209, 767, 535.790, 0.487, 750, 9.457, 0.258, 724, 87.993, 0.187, 531, 322.598, 0.272, 675, 75.976, 0.204, 466, 1858.458, 13.259, 297, 10.042, 0.946, 682, 103.803, 9.974, 782, 522.048, 6.941
