monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Cape Grim, Tasmania, Lat.:, -40.68, 40.68S, Lon.:, 144.69, 144.69E, Alt:, 94, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---, ---, CSIRO94, ---, ---, MPI-2009, ---
2001.2084, 2001, 3, 878, 255.652, 0.264, 874, 539.501, 0.521, 900, 39.242, 0.416, 896, 94.430, 0.239, 850, 315.353, 0.221, 900, 81.181, 0.188, 459, 1712.674, 1.759, 285, 4.721, 0.327, , , , 908, 547.451, 8.175
2001.2916, 2001, 4, 812, 255.366, 0.298, 830, 539.513, 0.588, 874, 38.777, 0.358, 869, 94.300, 0.256, 817, 315.245, 0.251, 881, 81.135, 0.187, 551, 1715.957, 2.622, 427, 4.970, 0.319, , , , 843, 546.100, 8.105
2001.3750, 2001, 5, 866, 255.421, 0.291, 880, 539.911, 0.532, 923, 38.284, 0.297, 924, 94.266, 0.230, 811, 315.351, 0.234, 923, 81.102, 0.168, 505, 1725.961, 2.325, 201, 5.650, 0.385, , , , 871, 540.021, 7.304
2001.4584, 2001, 6, 580, 255.604, 0.326, 592, 540.481, 0.616, 595, 37.917, 0.399, 592, 94.278, 0.267, 550, 315.566, 0.251, 593, 81.133, 0.184, 519, 1732.836, 2.582, 362, 5.994, 0.344, , , , 623, 536.583, 6.989
2001.5416, 2001, 7, 772, 255.758, 0.258, 833, 541.011, 0.447, 805, 37.580, 0.346, 799, 94.287, 0.259, 762, 315.878, 0.248, 814, 81.183, 0.152, 433, 1739.178, 1.828, 231, 6.159, 0.306, , , , 773, 532.918, 7.312
2001.6250, 2001, 8, 840, 255.705, 0.248, 838, 541.135, 0.514, 851, 37.254, 0.396, 859, 94.167, 0.285, 812, 315.974, 0.234, 853, 81.221, 0.193, 634, 1740.852, 1.847, 428, 6.379, 0.396, , , , 824, 533.609, 8.499
2001.7084, 2001, 9, 768, 255.623, 0.240, 738, 541.362, 0.516, 795, 36.934, 0.416, 809, 94.115, 0.254, 691, 316.130, 0.200, 803, 81.143, 0.220, 437, 1742.069, 1.862, 343, 6.488, 0.330, , , , 772, 535.171, 9.716
2001.7916, 2001, 10, 831, 255.455, 0.197, 837, 541.438, 0.414, 844, 36.455, 0.400, 845, 94.087, 0.243, 811, 316.239, 0.176, 832, 81.164, 0.193, 672, 1739.892, 2.063, 431, 6.204, 0.350, , , , 891, 539.444, 8.691
2001.8750, 2001, 11, 928, 255.311, 0.183, 917, 541.453, 0.400, 902, 35.844, 0.479, 908, 93.909, 0.239, 897, 316.318, 0.178, 924, 81.101, 0.186, 736, 1733.704, 3.339, 381, 5.798, 0.422, , , , 884, 543.701, 10.172
2001.9584, 2001, 12, 990, 255.203, 0.178, 981, 541.378, 0.373, 989, 34.923, 0.465, 988, 93.697, 0.226, 971, 316.456, 0.208, 986, 80.970, 0.179, 697, 1724.912, 3.513, 652, 5.341, 0.358, , , , , , 
2002.0416, 2002, 1, 811, 255.001, 0.189, 893, 541.327, 0.421, 880, 34.061, 0.486, 888, 93.706, 0.224, 876, 316.505, 0.203, 807, 80.876, 0.193, 626, 1717.416, 2.567, 314, 5.182, 0.361, , , , , , 
2002.1250, 2002, 2, 861, 254.754, 0.223, 875, 541.242, 0.465, 876, 33.430, 0.469, 875, 93.676, 0.231, 873, 316.463, 0.225, 885, 80.686, 0.182, 707, 1712.090, 1.963, 344, 4.818, 0.372, , , , 92, 550.654, 7.968
2002.2084, 2002, 3, 852, 254.492, 0.274, 852, 541.147, 0.532, 867, 32.748, 0.367, 866, 93.626, 0.248, 853, 316.316, 0.212, 860, 80.581, 0.186, 661, 1712.176, 1.972, 500, 4.790, 0.307, , , , 869, 547.808, 7.820
2002.2916, 2002, 4, 806, 254.238, 0.262, 813, 541.096, 0.513, 885, 32.332, 0.320, 857, 93.527, 0.245, 799, 316.214, 0.257, 871, 80.461, 0.204, 334, 1717.713, 3.021, 183, 5.088, 0.368, , , , 841, 541.629, 10.235
2002.3750, 2002, 5, 847, 253.984, 0.286, 846, 540.981, 0.526, 916, 32.022, 0.325, 911, 93.337, 0.239, 850, 316.106, 0.258, 901, 80.411, 0.208, 531, 1726.735, 2.957, 272, 5.758, 0.385, , , , 911, 538.426, 10.655
2002.4584, 2002, 6, 839, 253.904, 0.289, 837, 541.103, 0.543, 828, 31.710, 0.325, 829, 93.214, 0.277, 844, 316.121, 0.267, 849, 80.429, 0.224, 558, 1733.144, 2.143, 433, 6.055, 0.383, , , , 793, 534.759, 11.290
2002.5416, 2002, 7, 870, 253.804, 0.252, 893, 541.415, 0.621, 914, 31.412, 0.374, 905, 93.135, 0.248, 891, 316.330, 0.313, 910, 80.384, 0.206, 536, 1737.664, 2.207, 486, 6.193, 0.352, , , , 886, 533.316, 11.856
2002.6250, 2002, 8, 888, 253.552, 0.249, 894, 542.042, 0.662, 898, 31.013, 0.358, 893, 93.114, 0.254, 885, 316.685, 0.339, 903, 80.195, 0.183, 680, 1741.973, 1.483, 498, 6.065, 0.384, , , , 882, 534.837, 11.432
2002.7084, 2002, 9, 843, 253.354, 0.279, 834, 542.020, 0.727, 830, 30.706, 0.428, 826, 92.932, 0.291, 835, 316.822, 0.342, 847, 80.185, 0.228, 667, 1743.115, 1.305, 576, 6.137, 0.343, , , , 863, 537.468, 12.404
2002.7916, 2002, 10, 779, 253.093, 0.230, 785, 541.973, 0.550, 749, 30.294, 0.374, 755, 92.873, 0.246, 730, 316.872, 0.244, 794, 80.214, 0.215, 618, 1740.817, 1.841, 470, 5.964, 0.304, , , , 724, 540.707, 9.958
2002.8750, 2002, 11, 827, 252.858, 0.220, 834, 541.848, 0.495, 847, 29.793, 0.389, 857, 92.791, 0.235, 823, 316.894, 0.225, 847, 80.195, 0.194, 625, 1736.465, 2.804, 459, 5.644, 0.345, , , , 827, 546.936, 11.134
2002.9584, 2002, 12, 882, 252.530, 0.206, 893, 541.698, 0.483, 910, 28.999, 0.463, 899, 92.768, 0.220, 858, 316.861, 0.205, 898, 80.144, 0.186, 756, 1727.754, 3.497, 445, 5.078, 0.358, , , , 928, 551.525, 12.443
2003.0416, 2003, 1, 923, 252.093, 0.244, 905, 541.313, 0.495, 904, 28.665, 0.447, 932, 92.790, 0.215, 902, 316.780, 0.227, 920, 80.014, 0.199, 775, 1718.278, 2.697, 483, 4.636, 0.296, , , , 949, 554.800, 13.578
2003.1250, 2003, 2, 710, 251.751, 0.217, 730, 541.138, 0.621, 637, 27.957, 0.555, 723, 92.779, 0.269, 713, 316.677, 0.290, 731, 79.840, 0.163, 601, 1713.423, 1.800, 306, 4.404, 0.275, , , , 751, 556.235, 13.544
2003.2084, 2003, 3, 783, 251.554, 0.254, 811, 541.114, 0.706, 841, 27.237, 0.356, 838, 92.592, 0.231, 781, 316.759, 0.318, 844, 79.805, 0.187, 560, 1713.986, 2.117, 300, 4.432, 0.355, , , , 870, 552.148, 14.409
2003.2916, 2003, 4, 813, 251.413, 0.290, 817, 541.193, 0.776, 800, 26.854, 0.312, 820, 92.525, 0.219, 773, 316.771, 0.338, 828, 79.722, 0.181, 506, 1720.480, 2.774, 289, 5.293, 0.561, , , , 816, 548.857, 14.486
2003.3750, 2003, 5, 801, 251.761, 0.265, 825, 541.210, 0.738, 849, 26.600, 0.306, 848, 92.646, 0.216, 795, 316.636, 0.341, 847, 79.836, 0.182, 442, 1727.864, 3.582, 252, 5.324, 0.597, , , , 815, 543.457, 14.546
2003.4584, 2003, 6, 851, 251.698, 0.279, 862, 541.193, 0.846, 874, 26.454, 0.316, 863, 92.518, 0.230, 844, 316.704, 0.368, 868, 79.848, 0.184, 579, 1732.979, 2.916, 475, 5.562, 0.488, , , , 782, 542.273, 16.530
2003.5416, 2003, 7, 868, 251.983, 0.372, 884, 541.649, 0.762, 898, 26.138, 0.371, 901, 92.397, 0.214, 876, 316.949, 0.355, 902, 79.813, 0.179, 566, 1739.514, 2.478, 352, 5.974, 0.381, , , , 581, 539.916, 3.206
2003.6250, 2003, 8, 877, 252.324, 0.228, 875, 542.074, 0.846, 906, 25.766, 0.297, 886, 92.284, 0.236, 868, 317.235, 0.384, 899, 79.794, 0.185, 479, 1742.773, 1.533, 427, 6.325, 0.323, , , , 678, 539.278, 2.974
2003.7084, 2003, 9, 882, 252.206, 0.209, 893, 542.073, 0.972, 882, 25.533, 0.316, 877, 92.120, 0.234, 887, 317.360, 0.393, 898, 79.816, 0.208, 805, 1743.996, 1.119, 699, 6.422, 0.359, , , , 898, 540.419, 2.342
2003.7916, 2003, 10, 868, 252.136, 0.174, 856, 542.251, 0.858, 872, 25.148, 0.303, 863, 92.080, 0.192, 855, 317.518, 0.394, 873, 79.783, 0.199, 731, 1742.014, 1.740, 515, 6.194, 0.323, , , , 860, 542.089, 2.682
2003.8750, 2003, 11, 808, 252.030, 0.169, 799, 542.280, 0.961, 818, 24.668, 0.330, 805, 92.114, 0.189, 777, 317.711, 0.431, 813, 79.682, 0.193, 562, 1736.882, 2.651, 359, 5.891, 0.307, , , , 743, 545.715, 3.047
2003.9584, 2003, 12, 879, 251.810, 0.217, 883, 542.110, 1.117, 886, 24.172, 0.349, 883, 92.118, 0.200, 879, 317.833, 0.466, 885, 79.627, 0.209, 713, 1728.810, 3.532, 380, 5.442, 0.387, , , , 863, 548.066, 3.643
2004.0416, 2004, 1, 798, 251.447, 0.210, 791, 541.978, 1.304, 812, 23.738, 0.349, 809, 92.075, 0.203, 790, 317.747, 0.525, 804, 79.559, 0.184, 687, 1720.098, 2.628, 532, 4.774, 0.374, , , , 751, 550.004, 3.755
2004.1250, 2004, 2, 875, 251.087, 0.217, 861, 541.621, 1.478, 882, 23.296, 0.290, 877, 91.996, 0.194, 860, 317.678, 0.523, 881, 79.438, 0.203, 752, 1713.363, 1.707, 489, 4.533, 0.320, , , , 820, 550.407, 2.712
2004.2084, 2004, 3, 882, 250.753, 0.274, 897, 541.498, 1.354, 927, 22.821, 0.336, 920, 91.934, 0.228, 910, 317.556, 0.510, 925, 79.264, 0.181, 753, 1713.081, 1.733, 496, 4.485, 0.304, , , , 866, 549.184, 2.511
2004.2916, 2004, 4, 714, 250.735, 0.306, 738, 541.325, 1.574, 776, 22.378, 0.323, 758, 91.943, 0.246, 726, 317.574, 0.588, 789, 79.129, 0.200, 458, 1718.140, 2.531, 216, 4.721, 0.280, , , , 642, 547.315, 2.768
2004.3750, 2004, 5, 800, 250.602, 0.296, 813, 541.350, 0.905, 839, 22.083, 0.258, 823, 91.864, 0.227, 565, 317.536, 0.440, 690, 79.023, 0.216, 511, 1724.513, 2.926, 447, 4.976, 0.356, , , , 336, 544.958, 3.380
2004.4584, 2004, 6, 867, 250.354, 0.310, 867, 541.313, 1.019, 884, 21.888, 0.295, 872, 91.693, 0.258, 862, 317.547, 0.442, 885, 79.030, 0.199, 619, 1731.861, 2.787, 478, 5.479, 0.341, , , , 688, 541.315, 2.918
2004.5416, 2004, 7, 883, 250.313, 0.250, 887, 541.276, 1.014, 897, 21.739, 0.263, 885, 91.572, 0.216, 893, 317.642, 0.435, 893, 79.003, 0.173, 651, 1737.732, 2.423, 474, 5.700, 0.329, , , , 765, 537.659, 3.169
2004.6250, 2004, 8, 837, 250.180, 0.238, 874, 542.114, 1.067, 884, 21.566, 0.265, 861, 91.776, 0.224, 851, 318.016, 0.423, 878, 78.958, 0.193, 508, 1742.923, 1.362, 350, 6.489, 0.463, , , , 708, 535.890, 3.827
2004.7084, 2004, 9, 867, 249.994, 0.215, 846, 541.990, 1.214, 870, 21.284, 0.267, 868, 91.688, 0.205, 845, 318.122, 0.461, 863, 78.907, 0.213, 654, 1743.123, 1.370, 577, 6.549, 0.539, , , , 183, 537.646, 3.665
2004.7916, 2004, 10, 711, 249.798, 0.216, 712, 541.905, 1.328, 698, 21.028, 0.342, 711, 91.601, 0.203, 709, 318.160, 0.451, 708, 78.859, 0.216, 494, 1741.744, 1.722, 281, 6.562, 0.509, , , , 633, 541.259, 5.156
2004.8750, 2004, 11, 911, 249.614, 0.186, 864, 541.727, 1.690, 917, 20.689, 0.301, 912, 91.544, 0.184, 849, 318.230, 0.577, 907, 78.864, 0.193, 780, 1736.963, 3.084, 371, 6.772, 0.405, , , , 935, 545.322, 5.849
2004.9584, 2004, 12, 518, 249.415, 0.165, 559, 541.581, 1.698, 514, 20.313, 0.284, 521, 91.521, 0.178, 791, 318.328, 0.608, 521, 78.883, 0.176, 768, 1726.858, 4.002, 178, 6.158, 0.352, , , , 520, 548.444, 7.257
2005.0416, 2005, 1, 906, 249.097, 0.217, 601, 541.253, 0.432, 905, 19.794, 0.383, 905, 91.510, 0.187, 616, 318.252, 0.211, 908, 78.738, 0.193, 767, 1718.502, 3.125, 389, 4.902, 0.420, , , , 830, 550.897, 9.976
2005.1250, 2005, 2, 816, 248.724, 0.202, 819, 540.915, 0.400, 829, 19.491, 0.312, 833, 91.398, 0.189, 793, 318.120, 0.194, 834, 78.526, 0.194, 660, 1712.571, 2.059, 280, 4.488, 0.281, , , , 762, 551.847, 6.969
2005.2084, 2005, 3, 844, 248.377, 0.265, 854, 540.579, 0.462, 866, 19.033, 0.276, 865, 91.244, 0.214, 857, 317.899, 0.206, 861, 78.349, 0.181, 690, 1711.968, 1.811, 369, 4.620, 0.499, , , , 778, 551.942, 4.170
2005.2916, 2005, 4, 722, 248.089, 0.271, 769, 540.427, 0.498, 808, 18.696, 0.247, 808, 91.054, 0.222, 701, 317.847, 0.223, 791, 78.258, 0.192, 439, 1715.758, 2.108, 369, 5.130, 0.490, , , , 668, 550.105, 3.329
2005.3750, 2005, 5, 798, 247.794, 0.287, 807, 540.484, 0.486, 861, 18.547, 0.219, 854, 90.957, 0.243, 752, 317.922, 0.252, 575, 78.388, 0.179, 464, 1723.676, 2.910, 342, 5.336, 0.299, , , , 674, 544.831, 3.760
2005.4584, 2005, 6, 822, 247.843, 0.237, 834, 540.793, 0.454, 888, 18.387, 0.210, 888, 90.993, 0.184, 690, 318.287, 0.255, 891, 78.393, 0.177, 362, 1731.468, 3.144, 180, 5.598, 0.340, , , , 555, 536.808, 5.738
2005.5416, 2005, 7, 842, 247.729, 0.244, 851, 540.756, 0.458, 853, 18.227, 0.239, 859, 90.856, 0.235, 777, 318.345, 0.228, 862, 78.498, 0.162, 545, 1736.620, 2.073, 457, 5.948, 0.318, , , , 770, 537.500, 4.573
2005.6250, 2005, 8, 835, 247.646, 0.229, 869, 540.776, 0.445, 877, 18.070, 0.253, 870, 90.688, 0.226, 795, 318.448, 0.217, 895, 78.435, 0.187, 647, 1739.992, 1.641, 578, 6.099, 0.325, , , , 723, 537.719, 4.101
2005.7084, 2005, 9, 824, 247.526, 0.208, 866, 540.843, 0.429, 886, 17.869, 0.242, 870, 90.579, 0.199, 771, 318.623, 0.198, 888, 78.376, 0.187, 582, 1741.972, 1.414, 384, 6.283, 0.315, , , , 792, 536.630, 6.132
2005.7916, 2005, 10, 872, 247.426, 0.217, 878, 540.833, 0.425, 837, 17.566, 0.297, 841, 90.519, 0.212, 815, 318.822, 0.208, 876, 78.328, 0.203, 619, 1741.261, 1.251, 389, 6.140, 0.304, , , , 865, 543.125, 2.915
2005.8750, 2005, 11, 720, 247.332, 0.219, 733, 540.828, 0.424, 727, 17.230, 0.277, 723, 90.525, 0.210, 659, 318.948, 0.173, 737, 78.237, 0.208, 560, 1737.673, 2.419, 303, 5.777, 0.359, , , , 714, 547.252, 2.920
2005.9584, 2005, 12, 825, 247.045, 0.221, 826, 540.576, 0.433, 851, 16.888, 0.301, 841, 90.444, 0.213, 774, 319.015, 0.176, 852, 78.111, 0.198, 717, 1727.353, 4.222, 551, 5.295, 0.437, , , , 809, 552.027, 2.741
2006.0416, 2006, 1, 925, 246.737, 0.255, 919, 540.238, 0.449, 916, 16.564, 0.291, 923, 90.356, 0.189, 868, 319.004, 0.190, 930, 78.081, 0.213, 730, 1719.411, 3.134, 365, 4.513, 0.266, , , , 866, 553.481, 2.810
2006.1250, 2006, 2, 798, 246.409, 0.191, 820, 539.940, 0.397, 814, 16.182, 0.286, 792, 90.269, 0.191, 816, 318.948, 0.173, 813, 77.975, 0.201, 731, 1712.844, 1.998, 524, 4.221, 0.268, , , , 730, 554.918, 2.534
2006.2084, 2006, 3, 790, 246.194, 0.242, 816, 540.026, 0.385, 824, 15.854, 0.252, 813, 90.366, 0.197, 814, 318.913, 0.178, 828, 77.839, 0.186, 646, 1712.716, 1.672, 299, 4.466, 0.260, , , , 633, 552.345, 2.723
2006.2916, 2006, 4, 798, 245.809, 0.267, 814, 539.701, 0.463, 817, 15.651, 0.284, 808, 90.195, 0.219, 793, 318.812, 0.214, 818, 77.808, 0.166, 582, 1715.626, 2.292, 432, 4.750, 0.264, , , , 733, 549.784, 2.369
2006.3750, 2006, 5, 870, 245.627, 0.282, 873, 539.599, 0.444, 899, 15.470, 0.251, 879, 90.075, 0.227, 855, 318.828, 0.223, 898, 77.763, 0.155, 612, 1722.249, 3.124, 375, 5.052, 0.239, , , , 690, 545.158, 3.170
2006.4584, 2006, 6, 834, 245.633, 0.247, 852, 539.746, 0.416, 853, 15.338, 0.225, 853, 90.006, 0.201, 795, 318.993, 0.233, 858, 77.762, 0.134, 520, 1729.111, 2.318, 294, 5.507, 0.245, , , , 498, 540.868, 2.205
2006.5416, 2006, 7, 774, 245.555, 0.222, 800, 539.724, 0.410, 822, 15.195, 0.273, 810, 89.877, 0.216, 737, 319.126, 0.219, 827, 77.785, 0.160, 420, 1734.486, 2.408, 254, 5.700, 0.344, , , , 530, 538.211, 2.628
2006.6250, 2006, 8, 747, 245.437, 0.219, 766, 539.716, 0.441, 788, 15.075, 0.298, 784, 89.767, 0.200, 703, 319.250, 0.217, 792, 77.799, 0.146, 471, 1738.907, 1.830, 394, 5.987, 0.268, , , , 588, 537.385, 2.234
2006.7084, 2006, 9, 793, 245.294, 0.211, 802, 539.638, 0.404, 830, 14.936, 0.260, 826, 89.619, 0.208, 762, 319.392, 0.181, 833, 77.733, 0.160, 623, 1740.949, 1.298, 390, 6.096, 0.244, , , , 737, 537.126, 2.416
2006.7916, 2006, 10, 880, 245.088, 0.202, 883, 539.442, 0.369, 888, 14.736, 0.276, 890, 89.550, 0.203, 865, 319.425, 0.169, 882, 77.688, 0.160, 733, 1739.594, 1.543, 515, 5.933, 0.300, , , , 79, 540.834, 2.095
2006.8750, 2006, 11, 800, 245.543, 0.201, 815, 539.461, 0.364, 804, 14.417, 0.295, 809, 89.533, 0.208, 801, 319.526, 0.173, 805, 77.558, 0.165, 760, 1733.944, 3.011, 426, 5.767, 0.331, , , , , , 
2006.9584, 2006, 12, 730, 245.384, 0.182, 736, 539.299, 0.359, 736, 14.285, 0.276, 740, 89.521, 0.192, 719, 319.628, 0.174, 738, 77.464, 0.189, 592, 1727.598, 2.818, 344, 5.380, 0.268, , , , 95, 551.776, 4.119
2007.0416, 2007, 1, 897, 245.096, 0.213, 897, 538.998, 0.390, 891, 13.825, 0.285, 889, 89.511, 0.189, 855, 319.635, 0.197, 889, 77.337, 0.200, 687, 1718.066, 2.937, 415, 4.774, 0.326, , , , 775, 553.553, 3.927
2007.1250, 2007, 2, 739, 244.742, 0.205, 783, 538.629, 0.378, 799, 13.514, 0.298, 794, 89.427, 0.187, 729, 319.555, 0.197, 793, 77.204, 0.183, 533, 1713.734, 2.005, 61, 4.707, 0.288, , , , 706, 548.529, 4.154
2007.2084, 2007, 3, 835, 244.316, 0.264, 852, 538.137, 0.469, 859, 13.372, 0.276, 868, 89.251, 0.221, 807, 319.370, 0.205, 878, 77.068, 0.203, 589, 1714.544, 1.896, 317, 4.840, 0.280, , , , 844, 551.105, 4.334
2007.2916, 2007, 4, 781, 243.977, 0.266, 850, 537.804, 0.473, 858, 13.169, 0.251, 857, 89.106, 0.215, 778, 319.280, 0.219, 855, 76.972, 0.220, 398, 1720.384, 2.765, 168, 4.969, 0.388, , , , 558, 548.535, 8.020
2007.3750, 2007, 5, 699, 243.736, 0.317, 799, 537.666, 0.561, 882, 13.033, 0.285, 858, 88.990, 0.268, 604, 319.222, 0.270, 898, 76.955, 0.191, 488, 1728.216, 2.937, 373, 5.419, 0.287, , , , 558, 548.267, 3.181
2007.4584, 2007, 6, 841, 243.685, 0.226, 852, 537.588, 0.428, 848, 12.920, 0.248, 853, 88.811, 0.195, 798, 319.353, 0.223, 852, 76.984, 0.134, 575, 1736.098, 2.471, 231, 5.912, 0.295, , , , 691, 542.032, 3.270
2007.5416, 2007, 7, 831, 243.733, 0.254, 862, 537.696, 0.463, 880, 12.711, 0.261, 859, 88.750, 0.202, 729, 319.540, 0.255, 873, 76.962, 0.163, 538, 1742.132, 2.189, 309, 6.171, 0.261, , , , 639, 540.081, 3.134
2007.6250, 2007, 8, 817, 243.965, 0.210, 849, 538.035, 0.405, 883, 12.464, 0.302, 867, 88.823, 0.207, 751, 319.928, 0.212, 887, 77.016, 0.191, 579, 1746.566, 1.850, 414, 6.295, 0.330, , , , 728, 538.585, 3.085
2007.7084, 2007, 9, 835, 243.858, 0.194, 836, 537.964, 0.404, 822, 12.307, 0.281, 835, 88.650, 0.189, 783, 320.111, 0.196, 831, 76.992, 0.178, 615, 1748.340, 1.847, 394, 6.482, 0.284, , , , 757, 537.705, 3.134
2007.7916, 2007, 10, 879, 243.752, 0.174, 885, 537.909, 0.388, 885, 12.132, 0.273, 879, 88.595, 0.193, 873, 320.287, 0.190, 887, 76.960, 0.177, 735, 1747.218, 2.021, 627, 6.325, 0.291, , , , 757, 542.549, 3.479
2007.8750, 2007, 11, 865, 243.637, 0.177, 861, 537.800, 0.366, 875, 11.873, 0.254, 870, 88.628, 0.174, 819, 320.477, 0.177, 874, 76.845, 0.197, 675, 1743.581, 2.476, 267, 5.795, 0.322, , , , 824, 549.362, 3.748
2007.9584, 2007, 12, 862, 243.408, 0.174, 867, 537.554, 0.376, 873, 11.662, 0.286, 865, 88.577, 0.172, 814, 320.528, 0.175, 870, 76.748, 0.195, 786, 1735.365, 3.432, 361, 5.304, 0.359, , , , 737, 553.250, 2.926
2008.0416, 2008, 1, 904, 243.127, 0.192, 909, 537.192, 0.363, 911, 11.435, 0.267, 908, 88.497, 0.178, 871, 320.548, 0.169, 912, 76.695, 0.170, 790, 1727.185, 2.785, 366, 4.833, 0.266, , , , 482, 554.662, 3.231
2008.1250, 2008, 2, 804, 242.928, 0.210, 830, 536.965, 0.396, 838, 11.199, 0.287, 827, 88.464, 0.204, 806, 320.616, 0.173, 838, 76.624, 0.165, 720, 1722.791, 1.701, 357, 4.551, 0.279, , , , 607, 554.477, 3.259
2008.2084, 2008, 3, 778, 242.479, 0.266, 833, 536.453, 0.451, 846, 11.019, 0.249, 839, 88.277, 0.207, 782, 320.491, 0.202, 833, 76.374, 0.236, 577, 1723.785, 2.090, 263, 4.772, 0.237, , , , 735, 553.219, 3.068
2008.2916, 2008, 4, 805, 242.231, 0.268, 840, 536.225, 0.434, 865, 11.013, 0.237, 854, 88.235, 0.185, 760, 320.459, 0.213, 851, 76.356, 0.205, 460, 1730.076, 2.729, 271, 4.962, 0.237, , , , 708, 550.740, 3.378
2008.3750, 2008, 5, 723, 242.171, 0.306, 790, 536.313, 0.564, 717, 10.989, 0.257, 693, 88.064, 0.251, 714, 320.561, 0.287, 874, 76.426, 0.211, 544, 1736.587, 3.188, 404, 5.289, 0.299, , , , 693, 548.917, 4.083
2008.4584, 2008, 6, 795, 242.344, 0.290, 813, 536.544, 0.483, 805, 10.759, 0.251, 795, 87.944, 0.235, 727, 320.827, 0.235, 807, 76.484, 0.200, 495, 1745.261, 2.853, 343, 5.773, 0.301, , , , 450, 546.055, 2.609
2008.5416, 2008, 7, 878, 242.127, 0.220, 898, 536.323, 0.421, 855, 10.745, 0.247, 874, 87.756, 0.201, 840, 320.895, 0.223, 904, 76.492, 0.156, 500, 1750.262, 3.085, 329, 6.034, 0.316, , , , 560, 541.978, 3.129
2008.6250, 2008, 8, 869, 242.006, 0.197, 869, 536.185, 0.382, 878, 10.630, 0.248, 876, 87.570, 0.207, 855, 320.978, 0.185, 867, 76.454, 0.147, 686, 1754.208, 1.998, 522, 6.290, 0.292, , , , 743, 539.823, 2.482
2008.7084, 2008, 9, 822, 241.872, 0.208, 858, 536.105, 0.419, 845, 10.526, 0.248, 853, 87.399, 0.209, 801, 321.127, 0.214, 866, 76.393, 0.179, 597, 1755.182, 1.375, 473, 6.298, 0.285, , , , 734, 540.659, 3.069
2008.7916, 2008, 10, 875, 241.820, 0.194, 885, 536.003, 0.394, 903, 10.334, 0.227, 899, 87.320, 0.196, 846, 321.276, 0.201, 902, 76.316, 0.207, 706, 1753.926, 1.621, 505, 6.135, 0.283, , , , 849, 542.396, 2.886
2008.8750, 2008, 11, 820, 241.626, 0.184, 847, 535.830, 0.365, 816, 10.179, 0.263, 821, 87.311, 0.187, 787, 321.371, 0.180, 822, 76.244, 0.196, 523, 1748.753, 2.698, 281, 5.787, 0.369, , , , 780, 545.545, 3.259
2008.9584, 2008, 12, 900, 241.463, 0.174, 901, 535.595, 0.367, 901, 9.974, 0.262, 900, 87.267, 0.170, 880, 321.454, 0.167, 894, 76.203, 0.183, 842, 1739.501, 3.798, 575, 5.284, 0.297, , , , 878, 549.714, 2.758
2009.0416, 2009, 1, 797, 241.254, 0.198, 830, 535.284, 0.406, 808, 9.743, 0.280, 804, 87.229, 0.185, 773, 321.466, 0.179, 812, 76.067, 0.211, 698, 1730.438, 3.053, 519, 4.848, 0.232, , , , 810, 551.609, 2.996
2009.1250, 2009, 2, 739, 241.067, 0.198, 786, 535.055, 0.384, 755, 9.522, 0.403, 777, 87.314, 0.215, 759, 321.406, 0.181, 788, 75.784, 0.225, 646, 1725.044, 1.869, 170, 4.872, 0.268, , , , 736, 551.049, 3.269
2009.2084, 2009, 3, 847, 240.641, 0.271, 873, 534.525, 0.455, 876, 9.296, 0.292, 878, 87.067, 0.209, 792, 321.276, 0.201, 859, 75.618, 0.217, 637, 1725.559, 1.997, 309, 4.771, 0.289, , , , 708, 549.796, 3.161
2009.2916, 2009, 4, 740, 240.394, 0.328, 774, 534.202, 0.507, 791, 9.131, 0.229, 785, 86.909, 0.231, 716, 321.215, 0.249, 780, 75.670, 0.197, 558, 1730.853, 2.398, 324, 4.842, 0.243, , , , 782, 547.076, 3.141
2009.3750, 2009, 5, 812, 240.236, 0.317, 840, 534.035, 0.525, 838, 8.999, 0.233, 832, 86.802, 0.215, 809, 321.253, 0.286, 841, 75.620, 0.194, 676, 1739.165, 3.419, 391, 5.076, 0.242, , , , 811, 543.050, 3.526
2009.4584, 2009, 6, 773, 240.268, 0.277, 827, 534.074, 0.441, 829, 8.931, 0.184, 829, 86.705, 0.197, 732, 321.436, 0.258, 831, 75.687, 0.153, 414, 1747.128, 3.841, 212, 5.541, 0.329, , , , 478, 539.307, 3.853
2009.5416, 2009, 7, 594, 240.064, 0.233, 748, 533.850, 0.385, 551, 8.909, 0.239, 604, 86.517, 0.225, 734, 321.431, 0.204, 604, 75.662, 0.153, 591, 1752.073, 2.718, 332, 5.707, 0.248, , , , 654, 536.865, 3.043
