monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Trinidad Head, California, Lat.:, 41.05, 41.05N, Lon.:, -124.15, 124.15W, Alt:, 107, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: rfweiss@ucsd.edu; charth@ucsd.edu; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---
2004.9584, 2004, 12, 885, 252.085, 0.323, 871, 546.121, 0.734, 952, 20.568, 0.237, 949, 93.108, 0.228, 910, 319.563, 0.316, , , , 825, 1846.875, 10.878, 753, 12.183, 1.035
2005.0416, 2005, 1, 671, 251.917, 0.329, 657, 545.994, 0.660, 766, 20.444, 0.289, 790, 92.983, 0.198, 690, 319.556, 0.298, , , , 613, 1846.854, 13.396, 678, 11.728, 1.016
2005.1250, 2005, 2, 727, 251.766, 0.309, 729, 546.119, 0.725, 793, 20.241, 0.202, 792, 92.846, 0.177, 763, 319.631, 0.299, , , , 707, 1845.428, 7.982, 614, 11.616, 0.758
2005.2084, 2005, 3, 645, 251.815, 0.391, 630, 546.367, 0.800, 672, 20.124, 0.210, 672, 92.816, 0.208, 668, 319.905, 0.353, , , , 658, 1853.856, 10.336, 422, 11.646, 0.672
2005.2916, 2005, 4, 804, 252.247, 0.278, 807, 547.062, 0.545, 819, 20.007, 0.231, 829, 92.983, 0.168, 813, 320.244, 0.247, , , , 797, 1854.974, 9.896, 599, 11.556, 0.678
2005.3750, 2005, 5, 917, 252.101, 0.299, 909, 546.896, 0.566, 936, 19.643, 0.219, 941, 93.084, 0.204, 907, 320.182, 0.247, , , , 929, 1840.948, 8.615, 735, 10.985, 0.946
2005.4584, 2005, 6, 795, 251.598, 0.263, 799, 546.266, 0.505, 825, 19.326, 0.262, 814, 92.907, 0.188, 761, 320.240, 0.307, 34, 78.899, 0.168, 797, 1835.956, 10.199, 713, 10.624, 1.041
2005.5416, 2005, 7, 869, 250.664, 0.313, 846, 545.643, 0.548, 915, 18.607, 0.266, 910, 92.574, 0.328, 551, 320.531, 0.423, 883, 78.894, 0.162, 826, 1822.689, 14.223, 727, 10.542, 1.553
2005.6250, 2005, 8, 812, 250.240, 0.316, 791, 545.368, 0.575, 884, 18.147, 0.317, 889, 92.255, 0.222, 665, 320.700, 0.471, 879, 78.765, 0.165, 888, 1831.150, 16.690, 667, 11.789, 1.978
2005.7084, 2005, 9, 726, 250.150, 0.332, 704, 545.343, 0.671, 791, 17.880, 0.219, 815, 92.116, 0.210, 617, 320.392, 0.377, 810, 78.700, 0.160, 811, 1847.620, 11.188, 728, 13.272, 1.851
2005.7916, 2005, 10, 795, 250.133, 0.277, 776, 545.337, 0.570, 829, 17.590, 0.224, 836, 92.179, 0.211, 769, 320.270, 0.364, 827, 78.671, 0.161, 923, 1850.167, 10.052, 691, 13.585, 1.812
2005.8750, 2005, 11, 509, 250.185, 0.287, 465, 545.427, 0.668, 519, 17.302, 0.218, 517, 92.274, 0.184, 482, 320.193, 0.320, 516, 78.621, 0.149, 517, 1843.448, 12.376, 254, 12.201, 1.324
2005.9584, 2005, 12, 659, 250.174, 0.323, 661, 545.623, 0.612, 722, 17.187, 0.204, 724, 92.218, 0.188, 708, 320.203, 0.274, 723, 78.626, 0.146, 715, 1844.743, 10.413, 625, 11.997, 1.065
2006.0416, 2006, 1, 758, 249.902, 0.313, 778, 545.439, 0.605, 820, 17.027, 0.208, 787, 92.060, 0.192, 805, 320.255, 0.245, 815, 78.604, 0.138, 774, 1848.856, 10.900, 820, 11.458, 0.873
2006.1250, 2006, 2, 714, 249.728, 0.315, 706, 545.300, 0.596, 787, 16.905, 0.218, 754, 91.890, 0.198, 714, 320.338, 0.251, 785, 78.580, 0.150, 734, 1849.236, 15.101, 669, 11.580, 1.038
2006.2084, 2006, 3, 849, 249.342, 0.285, 861, 544.656, 0.533, 880, 16.837, 0.196, 871, 91.809, 0.183, 870, 320.305, 0.225, 877, 78.459, 0.153, 816, 1857.979, 6.792, 870, 11.623, 0.644
2006.2916, 2006, 4, 871, 248.954, 0.244, 887, 544.150, 0.489, 896, 16.687, 0.181, 890, 91.686, 0.178, 840, 320.376, 0.226, 883, 78.344, 0.140, 788, 1856.733, 6.675, 886, 11.831, 0.769
2006.3750, 2006, 5, 665, 248.674, 0.345, 693, 543.787, 0.562, 717, 16.486, 0.282, 737, 91.518, 0.190, 409, 320.388, 0.289, 710, 78.223, 0.158, 590, 1845.156, 10.075, 656, 11.419, 1.087
2006.4584, 2006, 6, 819, 248.100, 0.314, 818, 543.041, 0.528, 826, 16.054, 0.235, 859, 91.502, 0.227, 632, 320.371, 0.330, 835, 78.138, 0.184, 584, 1825.354, 11.887, 708, 10.466, 1.531
2006.5416, 2006, 7, 835, 248.353, 0.262, 830, 543.091, 0.501, 894, 15.511, 0.292, 892, 91.663, 0.214, 522, 320.698, 0.349, 781, 78.175, 0.182, 894, 1807.568, 15.128, 781, 10.257, 1.252
2006.6250, 2006, 8, 927, 247.874, 0.269, 931, 542.547, 0.584, 943, 15.179, 0.227, 941, 91.270, 0.202, 763, 320.544, 0.390, 943, 77.951, 0.150, 918, 1822.207, 13.887, 693, 11.111, 1.535
2006.7084, 2006, 9, 823, 247.781, 0.359, 861, 542.454, 0.730, 909, 14.968, 0.205, 907, 91.081, 0.202, 733, 320.296, 0.394, 902, 77.930, 0.169, 864, 1839.272, 11.067, 759, 12.359, 1.292
2006.7916, 2006, 10, 637, 248.351, 0.311, 788, 543.184, 0.708, 937, 14.751, 0.196, 941, 91.211, 0.197, 755, 320.300, 0.350, 923, 77.972, 0.154, 894, 1835.302, 10.431, 708, 13.338, 1.264
2006.8750, 2006, 11, 892, 248.141, 0.299, 920, 542.940, 0.604, 931, 14.524, 0.189, 908, 91.385, 0.194, 930, 320.312, 0.283, 932, 77.915, 0.148, 884, 1839.889, 10.663, 923, 11.929, 1.302
2006.9584, 2006, 12, 903, 248.140, 0.307, 938, 543.166, 0.612, 935, 14.421, 0.183, 934, 91.340, 0.211, 945, 320.561, 0.301, 946, 77.885, 0.148, 942, 1844.805, 9.457, 861, 12.247, 0.981
2007.0416, 2007, 1, 818, 247.861, 0.264, 825, 543.175, 0.623, 962, 14.332, 0.173, 876, 91.037, 0.181, 866, 321.132, 0.304, 965, 77.800, 0.138, 835, 1851.919, 8.771, 785, 12.471, 0.903
2007.1250, 2007, 2, 703, 247.664, 0.341, 653, 542.823, 0.762, 786, 14.233, 0.180, 722, 90.933, 0.180, 663, 320.953, 0.313, 783, 77.727, 0.151, 749, 1849.232, 7.892, 714, 11.606, 0.805
2007.2084, 2007, 3, 735, 247.492, 0.292, 683, 542.619, 0.670, 838, 14.082, 0.208, 755, 90.790, 0.195, 672, 320.976, 0.347, 834, 77.652, 0.153, 731, 1849.115, 11.171, 718, 11.497, 0.955
2007.2916, 2007, 4, 733, 247.380, 0.232, 743, 542.508, 0.584, 753, 14.031, 0.178, 749, 90.772, 0.178, 750, 321.430, 0.303, 739, 77.596, 0.137, 737, 1856.041, 6.265, 699, 11.859, 0.788
2007.3750, 2007, 5, 827, 246.918, 0.358, 865, 541.692, 0.630, 883, 13.866, 0.203, 877, 90.658, 0.199, 666, 321.677, 0.376, 872, 77.424, 0.182, 945, 1851.802, 9.867, 642, 11.766, 1.066
2007.4584, 2007, 6, 905, 246.388, 0.214, 919, 540.826, 0.483, 927, 13.541, 0.266, 926, 90.570, 0.194, 729, 321.451, 0.374, 800, 77.224, 0.199, 923, 1837.474, 9.789, 843, 10.912, 1.228
2007.5416, 2007, 7, 879, 245.917, 0.294, 873, 540.259, 0.454, 900, 13.073, 0.269, 895, 90.346, 0.168, 685, 321.169, 0.265, 868, 77.047, 0.193, 834, 1818.073, 13.424, 878, 9.667, 1.273
2007.6250, 2007, 8, 363, 245.420, 0.195, 422, 539.954, 0.482, 376, 12.790, 0.203, 365, 90.239, 0.161, 326, 321.135, 0.314, 369, 77.007, 0.134, 406, 1819.820, 14.258, 336, 10.128, 1.526
2007.7084, 2007, 9, 619, 245.349, 0.296, 703, 539.760, 0.502, 727, 12.616, 0.176, 739, 89.826, 0.196, 518, 321.288, 0.232, 738, 76.891, 0.149, 718, 1856.013, 18.514, 658, 12.248, 1.274
2007.7916, 2007, 10, 738, 245.485, 0.351, 828, 540.084, 0.628, 899, 12.304, 0.205, 879, 89.917, 0.170, 730, 321.354, 0.266, 880, 76.982, 0.162, 869, 1861.538, 11.831, 661, 11.735, 1.232
2007.8750, 2007, 11, 675, 245.689, 0.259, 722, 540.385, 0.479, 932, 12.093, 0.173, 900, 89.901, 0.185, 680, 321.641, 0.222, 903, 77.037, 0.134, 923, 1857.735, 10.879, 529, 11.653, 0.950
2007.9584, 2007, 12, 896, 245.575, 0.229, 899, 540.181, 0.441, 915, 12.000, 0.154, 902, 89.764, 0.139, 869, 321.651, 0.183, 903, 76.995, 0.127, 883, 1859.454, 7.764, 767, 11.496, 0.694
2008.0416, 2008, 1, 765, 245.489, 0.250, 817, 540.348, 0.488, 881, 11.934, 0.151, 816, 89.722, 0.172, 820, 321.823, 0.192, 873, 76.983, 0.127, 872, 1865.554, 9.398, 788, 11.548, 0.697
2008.1250, 2008, 2, 806, 245.207, 0.257, 798, 540.130, 0.530, 841, 11.793, 0.220, 805, 89.469, 0.198, 786, 321.973, 0.208, 838, 76.923, 0.125, 732, 1862.982, 12.714, 613, 11.399, 0.779
2008.2084, 2008, 3, 851, 244.916, 0.213, 955, 539.638, 0.478, 858, 11.683, 0.266, 850, 89.392, 0.201, 952, 322.003, 0.206, 853, 76.861, 0.132, 947, 1865.566, 9.713, 740, 11.417, 0.931
2008.2916, 2008, 4, 775, 244.705, 0.235, 902, 539.267, 0.488, 823, 11.604, 0.260, 816, 89.332, 0.196, 773, 322.132, 0.232, 820, 76.780, 0.127, 874, 1869.906, 9.490, 670, 11.507, 0.895
2008.3750, 2008, 5, 907, 244.413, 0.244, 818, 538.745, 0.505, 954, 11.411, 0.291, 934, 89.299, 0.199, 631, 322.283, 0.300, 900, 76.665, 0.152, 942, 1855.802, 17.668, 696, 11.318, 0.996
2008.4584, 2008, 6, 836, 244.222, 0.217, 891, 538.475, 0.497, 896, 11.257, 0.253, 871, 89.274, 0.202, 685, 322.403, 0.373, 890, 76.558, 0.132, 864, 1844.826, 14.749, 802, 10.439, 1.086
2008.5416, 2008, 7, 811, 243.996, 0.304, 920, 538.182, 0.585, 957, 10.974, 0.222, 949, 89.109, 0.222, 806, 322.415, 0.342, 922, 76.472, 0.141, 933, 1832.634, 12.870, 656, 9.992, 1.136
2008.6250, 2008, 8, 927, 243.625, 0.242, 944, 537.707, 0.562, 932, 10.631, 0.225, 924, 88.931, 0.191, 908, 322.154, 0.334, 924, 76.357, 0.141, 889, 1831.662, 20.866, 617, 9.782, 1.371
2008.7084, 2008, 9, 722, 243.848, 0.322, 894, 537.907, 0.575, 936, 10.529, 0.225, 922, 88.683, 0.240, 575, 322.371, 0.323, 920, 76.327, 0.141, 871, 1855.619, 12.433, 416, 11.966, 1.505
2008.7916, 2008, 10, 675, 244.020, 0.387, 769, 537.955, 0.764, 804, 10.327, 0.230, 767, 88.849, 0.208, 657, 322.251, 0.323, 783, 76.321, 0.156, 934, 1862.685, 12.374, 523, 12.202, 1.619
2008.8750, 2008, 11, 691, 244.171, 0.300, 846, 538.106, 0.732, 894, 10.175, 0.215, 864, 88.925, 0.189, 754, 322.456, 0.287, 855, 76.378, 0.145, 854, 1863.708, 13.479, 675, 12.736, 1.354
2008.9584, 2008, 12, 870, 244.036, 0.243, 928, 538.032, 0.736, 974, 10.139, 0.197, 926, 88.759, 0.174, 928, 322.542, 0.239, 954, 76.359, 0.120, 938, 1870.266, 10.355, 804, 12.431, 1.130
2009.0416, 2009, 1, 671, 243.657, 0.289, 783, 537.954, 0.699, 805, 9.940, 0.286, 732, 88.526, 0.220, 765, 322.676, 0.249, 791, 76.367, 0.147, 809, 1851.897, 16.335, 712, 11.298, 1.286
2009.1250, 2009, 2, 572, 243.355, 0.314, 820, 537.525, 0.785, 750, 9.917, 0.219, 696, 88.298, 0.198, 815, 322.631, 0.288, 721, 76.278, 0.153, 805, 1870.677, 9.668, 652, 11.108, 0.770
2009.2084, 2009, 3, 657, 242.998, 0.225, 753, 536.964, 0.719, 770, 9.801, 0.207, 719, 88.196, 0.176, 760, 322.630, 0.250, 749, 76.211, 0.158, 702, 1870.087, 11.527, 746, 10.975, 0.948
2009.2916, 2009, 4, 812, 242.689, 0.259, 906, 536.553, 0.757, 933, 9.748, 0.191, 878, 87.987, 0.192, 759, 322.817, 0.312, 916, 76.077, 0.158, 927, 1871.662, 9.675, 809, 11.313, 0.934
2009.3750, 2009, 5, 814, 242.385, 0.248, 919, 536.120, 0.768, 909, 9.574, 0.223, 885, 87.938, 0.177, 779, 322.892, 0.365, 914, 75.956, 0.145, 893, 1858.855, 13.980, 882, 10.898, 1.366
2009.4584, 2009, 6, 889, 242.145, 0.215, 901, 535.883, 0.665, 899, 9.354, 0.170, 900, 87.942, 0.189, 747, 322.779, 0.306, 907, 75.857, 0.131, 807, 1846.814, 10.221, 866, 11.036, 1.238
2009.5416, 2009, 7, 1002, 241.906, 0.200, 1038, 535.697, 0.639, 1040, 9.146, 0.189, 1041, 87.800, 0.149, 594, 322.920, 0.392, 1036, 75.789, 0.137, 1008, 1835.157, 13.355, 768, 11.138, 1.609
2009.6250, 2009, 8, 918, 241.560, 0.253, 911, 535.258, 0.743, 927, 8.885, 0.159, 922, 87.625, 0.223, 836, 322.901, 0.322, 902, 75.696, 0.155, 850, 1837.632, 21.445, 783, 11.162, 1.942
2009.7084, 2009, 9, 802, 241.882, 0.267, 968, 535.415, 0.765, 980, 8.739, 0.141, 981, 87.467, 0.156, 882, 322.780, 0.338, 940, 75.654, 0.155, 860, 1861.174, 11.047, 899, 12.479, 1.665
2009.7916, 2009, 10, 508, 242.116, 0.279, 614, 535.700, 0.792, 623, 8.570, 0.168, 623, 87.535, 0.190, 548, 323.064, 0.347, 625, 75.645, 0.141, 248, 1858.269, 12.686, 487, 13.140, 1.759
2009.8750, 2009, 11, 691, 242.170, 0.243, 701, 535.707, 0.746, 728, 8.503, 0.141, 692, 87.562, 0.192, 702, 323.098, 0.300, 720, 75.683, 0.134, 356, 1861.748, 11.065, 522, 12.543, 1.290
2009.9584, 2009, 12, 903, 242.154, 0.256, 914, 535.841, 0.559, 968, 8.426, 0.151, 959, 87.555, 0.187, 864, 323.395, 0.261, 954, 75.679, 0.127, 746, 1869.067, 11.489, 751, 12.167, 0.866
2010.0416, 2010, 1, 933, 241.932, 0.282, 961, 535.691, 0.565, 1006, 8.345, 0.153, 1006, 87.452, 0.190, 938, 323.471, 0.245, 1015, 75.663, 0.126, 848, 1871.572, 11.138, 769, 11.671, 0.789
2010.1250, 2010, 2, 674, 241.674, 0.224, 714, 535.470, 0.525, 745, 8.264, 0.152, 690, 87.371, 0.173, 721, 323.512, 0.232, 735, 75.637, 0.127, 697, 1869.128, 8.561, 503, 11.738, 0.725
2010.2084, 2010, 3, 1002, 241.445, 0.208, 1035, 535.182, 0.488, 1045, 8.237, 0.145, 1041, 87.207, 0.151, 1040, 323.581, 0.231, 1045, 75.585, 0.128, 973, 1880.485, 7.076, 851, 12.042, 0.667
2010.2916, 2010, 4, 932, 241.298, 0.239, 939, 534.813, 0.537, 930, 8.140, 0.162, 922, 87.180, 0.159, 916, 323.749, 0.270, 937, 75.521, 0.135, 874, 1882.404, 8.245, 773, 12.139, 0.773
2010.3750, 2010, 5, 995, 240.961, 0.218, 1041, 534.421, 0.559, 1045, 8.027, 0.161, 1044, 87.153, 0.163, 1020, 323.790, 0.252, 1047, 75.388, 0.149, 966, 1872.188, 9.053, 841, 11.716, 0.872
2010.4584, 2010, 6, 979, 240.624, 0.309, 1002, 533.895, 0.607, 1012, 7.838, 0.161, 965, 87.096, 0.215, 897, 323.985, 0.356, 1006, 75.252, 0.169, 955, 1853.753, 12.609, 925, 10.960, 1.060
2010.5416, 2010, 7, 1007, 240.185, 0.254, 1038, 533.422, 0.576, 1038, 7.718, 0.183, 1039, 86.762, 0.173, 709, 324.544, 0.410, 971, 75.056, 0.150, 996, 1845.166, 16.676, 770, 11.880, 1.457
2010.6250, 2010, 8, 672, 239.780, 0.320, 836, 533.047, 0.638, 735, 7.509, 0.161, 705, 86.536, 0.276, 695, 324.143, 0.415, 708, 74.968, 0.150, 681, 1843.963, 23.252, 636, 12.725, 1.997
2010.7084, 2010, 9, 872, 239.698, 0.279, 950, 532.998, 0.639, 965, 7.377, 0.175, 962, 86.470, 0.187, 876, 324.089, 0.431, 937, 74.972, 0.145, 896, 1854.790, 16.491, 769, 12.191, 1.984
2010.7916, 2010, 10, 603, 240.059, 0.345, 1001, 533.301, 0.699, 1010, 7.333, 0.166, 1006, 86.481, 0.232, 915, 324.217, 0.379, 1019, 74.979, 0.143, 953, 1871.501, 10.635, 740, 13.019, 1.325
2010.8750, 2010, 11, 933, 240.110, 0.260, 990, 533.227, 0.659, 1002, 7.210, 0.151, 1005, 86.617, 0.195, 975, 324.198, 0.360, 1007, 75.000, 0.130, 934, 1870.819, 10.142, 812, 12.957, 1.091
2010.9584, 2010, 12, 870, 240.057, 0.284, 889, 533.293, 0.728, 904, 7.115, 0.146, 900, 86.601, 0.146, 896, 324.287, 0.362, 910, 74.982, 0.126, 821, 1871.916, 10.617, 900, 12.171, 0.865
2011.0416, 2011, 1, 956, 239.706, 0.312, 999, 533.162, 0.753, 1012, 7.044, 0.157, 1003, 86.337, 0.176, 996, 324.436, 0.397, 1008, 74.945, 0.132, 901, 1870.506, 13.541, 787, 12.495, 1.043
2011.1250, 2011, 2, 912, 239.427, 0.261, 933, 532.859, 0.901, 944, 7.008, 0.158, 940, 86.110, 0.147, 927, 324.496, 0.471, 943, 74.894, 0.135, 853, 1876.400, 12.106, 808, 12.085, 0.820
2011.2084, 2011, 3, 434, 239.260, 0.286, 440, 532.583, 0.916, 438, 6.939, 0.148, 401, 86.133, 0.178, 428, 324.486, 0.489, 440, 74.881, 0.141, 424, 1875.359, 8.521, 428, 11.854, 0.842
2011.2916, 2011, 4, 878, 238.970, 0.311, 899, 531.906, 0.835, 907, 6.806, 0.144, 886, 86.039, 0.171, 896, 324.647, 0.463, 904, 74.878, 0.129, 860, 1882.695, 8.037, 819, 12.240, 0.888
2011.3750, 2011, 5, 846, 238.915, 0.358, 919, 531.592, 1.051, 921, 6.745, 0.146, 870, 86.144, 0.189, 920, 324.881, 0.610, 920, 74.797, 0.152, 834, 1875.640, 5.859, 785, 12.238, 0.809
2011.4584, 2011, 6, 825, 238.511, 0.288, 845, 531.147, 0.906, 861, 6.548, 0.158, 823, 86.053, 0.162, 872, 324.895, 0.631, 855, 74.680, 0.152, 791, 1856.672, 11.541, 738, 11.199, 1.066
2011.5416, 2011, 7, 869, 238.059, 0.328, 863, 530.756, 0.874, 859, 6.394, 0.179, 851, 85.827, 0.192, 785, 325.114, 0.691, 866, 74.552, 0.150, 773, 1839.303, 16.927, 642, 10.441, 1.486
2011.6250, 2011, 8, 1020, 237.646, 0.282, 1041, 530.433, 0.816, 1037, 6.281, 0.164, 1003, 85.595, 0.188, 1035, 325.080, 0.541, 1038, 74.618, 0.144, 905, 1846.742, 16.689, 1018, 11.342, 1.922
2011.7084, 2011, 9, 636, 237.824, 0.364, 802, 530.608, 0.935, 789, 6.227, 0.165, 777, 85.410, 0.195, 733, 325.394, 0.654, 785, 74.637, 0.158, 757, 1861.503, 17.505, 719, 12.978, 1.531
2011.7916, 2011, 10, 782, 238.111, 0.379, 993, 530.754, 0.890, 966, 6.089, 0.167, 976, 85.563, 0.176, 974, 325.294, 0.623, 963, 74.654, 0.148, 839, 1871.736, 13.724, 655, 13.053, 1.713
2011.8750, 2011, 11, 468, 238.131, 0.318, 468, 530.663, 0.850, 455, 6.019, 0.180, 474, 85.537, 0.159, 462, 325.301, 0.539, 474, 74.632, 0.139, 368, 1885.069, 12.367, 435, 13.206, 1.156
2011.9584, 2011, 12, 1003, 238.070, 0.350, 1037, 530.743, 0.940, 1011, 5.930, 0.162, 1033, 85.437, 0.190, 1033, 325.454, 0.583, 1026, 74.627, 0.143, 929, 1881.042, 10.125, 825, 13.473, 1.173
2012.0416, 2012, 1, 911, 237.730, 0.337, 955, 530.631, 0.940, 943, 5.885, 0.152, 911, 85.284, 0.162, 948, 325.471, 0.529, 956, 74.598, 0.134, 878, 1882.288, 11.755, 759, 12.594, 0.955
2012.1250, 2012, 2, 810, 237.485, 0.278, 843, 530.264, 0.789, 821, 5.851, 0.164, 812, 85.104, 0.154, 843, 325.559, 0.486, 840, 74.572, 0.133, 786, 1887.320, 10.601, 731, 12.212, 0.947
2012.2084, 2012, 3, 1021, 237.153, 0.289, 1040, 529.814, 0.907, 1010, 5.783, 0.165, 1025, 85.043, 0.180, 1043, 325.543, 0.571, 1021, 74.510, 0.142, 939, 1887.777, 10.488, 960, 12.197, 0.892
2012.2916, 2012, 4, 970, 237.005, 0.291, 967, 529.599, 0.838, 964, 5.697, 0.152, 960, 85.063, 0.151, 958, 325.719, 0.511, 969, 74.456, 0.140, 846, 1884.320, 13.987, 913, 12.438, 1.216
2012.3750, 2012, 5, 578, 236.553, 0.230, 577, 528.835, 0.669, , , , 574, 84.960, 0.184, 578, 325.892, 0.503, 575, 74.240, 0.151, 925, 1881.631, 11.583, 515, 12.162, 1.127
2012.4584, 2012, 6, 746, 236.272, 0.260, 760, 528.562, 0.785, , , , 760, 84.807, 0.196, 736, 325.909, 0.616, 762, 74.099, 0.140, 704, 1862.304, 17.355, 743, 11.232, 1.494
2012.5416, 2012, 7, 1019, 235.732, 0.273, 1018, 527.641, 0.798, , , , 1006, 84.590, 0.175, 1010, 325.718, 0.559, 1031, 73.941, 0.138, 918, 1846.185, 13.733, 898, 11.040, 1.573
2012.6250, 2012, 8, 1050, 235.477, 0.311, 1046, 527.108, 0.899, , , , 1054, 84.328, 0.221, 971, 325.623, 0.681, 1049, 73.819, 0.147, 988, 1851.288, 16.955, 912, 11.594, 1.572
2012.7084, 2012, 9, 918, 235.667, 0.387, 980, 526.997, 0.867, , , , 992, 84.155, 0.201, 980, 325.804, 0.633, 991, 73.793, 0.145, 862, 1871.731, 13.017, 805, 13.781, 1.486
2012.7916, 2012, 10, 939, 236.068, 0.334, 1019, 527.227, 0.887, , , , 1028, 84.372, 0.244, 979, 325.691, 0.640, 990, 73.850, 0.164, 905, 1873.792, 12.438, 844, 13.134, 1.624
2012.8750, 2012, 11, 948, 236.107, 0.351, 974, 527.310, 1.077, , , , 987, 84.509, 0.174, 958, 325.684, 0.672, 983, 73.898, 0.153, 877, 1879.927, 9.738, 835, 13.252, 1.094
2012.9584, 2012, 12, 990, 236.132, 0.244, 978, 527.391, 0.698, , , , 999, 84.455, 0.158, 981, 325.818, 0.428, 985, 73.888, 0.135, 956, 1887.213, 8.416, 999, 12.958, 0.903
2013.0416, 2013, 1, 1014, 235.976, 0.244, 1039, 527.477, 0.423, , , , 1042, 84.272, 0.165, 1019, 326.136, 0.267, 1038, 73.876, 0.119, 858, 1886.307, 16.023, 972, 13.029, 1.201
2013.1250, 2013, 2, 768, 235.728, 0.262, 839, 527.319, 0.466, , , , 811, 84.129, 0.185, 793, 326.407, 0.279, 859, 73.857, 0.127, 751, 1892.781, 11.686, 830, 13.180, 0.945
2013.2084, 2013, 3, 974, 235.459, 0.220, 973, 526.952, 0.452, , , , 983, 83.978, 0.162, 962, 326.448, 0.300, 985, 73.787, 0.130, 948, 1888.432, 12.495, 893, 12.878, 1.177
2013.2916, 2013, 4, 1006, 235.248, 0.251, 1012, 526.537, 0.470, , , , 1013, 83.889, 0.170, 856, 326.538, 0.370, 1011, 73.722, 0.141, 955, 1888.953, 12.915, 892, 12.824, 1.044
2013.3750, 2013, 5, 1014, 235.218, 0.249, 1046, 526.259, 0.551, , , , 1038, 83.960, 0.208, 929, 326.573, 0.372, 1038, 73.660, 0.147, 984, 1877.129, 12.983, 945, 12.376, 1.202
2013.4584, 2013, 6, 1011, 235.205, 0.287, 1007, 525.820, 0.667, , , , 997, 83.977, 0.151, 845, 326.743, 0.521, 959, 73.586, 0.154, 943, 1866.590, 16.054, 831, 11.881, 1.506
2013.5416, 2013, 7, 1025, 234.693, 0.310, 1038, 525.100, 0.624, , , , 1041, 83.600, 0.219, 648, 327.183, 0.451, 1043, 73.395, 0.169, 965, 1863.830, 16.051, 737, 12.513, 1.539
2013.6250, 2013, 8, 1043, 234.198, 0.267, 1044, 524.548, 0.627, , , , 1045, 83.468, 0.174, 1040, 326.506, 0.477, 1035, 73.288, 0.154, 1011, 1847.736, 14.840, 753, 10.670, 1.514
2013.7084, 2013, 9, 880, 234.407, 0.330, 899, 524.226, 0.620, , , , 895, 83.381, 0.157, 866, 326.342, 0.403, 870, 73.245, 0.154, 828, 1869.293, 12.369, 775, 12.691, 1.667
2013.7916, 2013, 10, 579, 234.970, 0.430, 882, 524.758, 0.774, , , , 950, 83.293, 0.164, 771, 326.893, 0.532, 948, 73.265, 0.149, 888, 1890.859, 10.510, 475, 15.296, 1.420
2013.8750, 2013, 11, 912, 235.093, 0.340, 997, 524.664, 0.661, , , , 963, 83.337, 0.168, 1003, 326.940, 0.443, 1008, 73.280, 0.145, 884, 1889.634, 10.221, 872, 15.586, 1.415
2013.9584, 2013, 12, 982, 234.752, 0.302, 997, 525.079, 0.740, , , , 1006, 83.075, 0.198, 995, 326.974, 0.440, 1001, 73.303, 0.141, 850, 1883.173, 12.213, 871, 15.535, 1.163
2014.0416, 2014, 1, 679, 234.556, 0.334, 750, 525.362, 0.730, , , , 742, 82.975, 0.182, 740, 327.250, 0.466, 757, 73.349, 0.137, 654, 1883.378, 12.859, 482, 14.786, 1.341
2014.1250, 2014, 2, 918, 234.124, 0.319, 924, 524.902, 0.733, , , , 924, 82.827, 0.154, 922, 327.074, 0.495, 923, 73.255, 0.141, 879, 1889.592, 13.421, 743, 13.779, 1.249
2014.2084, 2014, 3, 984, 234.020, 0.313, 1023, 524.695, 0.788, , , , 1041, 82.787, 0.186, 998, 327.287, 0.551, 1049, 73.245, 0.145, 1008, 1897.954, 10.745, 871, 14.500, 1.321
2014.2916, 2014, 4, 1013, 234.115, 0.264, 1012, 524.601, 0.621, , , , 999, 82.802, 0.162, 992, 327.669, 0.458, 1013, 73.187, 0.138, 985, 1899.967, 11.211, 736, 15.284, 0.933
2014.3750, 2014, 5, 1038, 234.098, 0.240, 1042, 524.241, 0.574, , , , 1040, 82.869, 0.155, 1039, 327.704, 0.432, 1036, 73.113, 0.147, 1031, 1892.564, 10.677, 939, 14.753, 1.266
2014.4584, 2014, 6, 963, 234.199, 0.271, 960, 523.906, 0.569, , , , 982, 82.881, 0.179, 791, 328.144, 0.547, 974, 73.039, 0.165, 961, 1883.222, 14.560, 855, 14.178, 1.906
2014.5416, 2014, 7, 995, 233.959, 0.263, 1014, 523.648, 0.600, , , , 1020, 82.719, 0.155, 972, 328.294, 0.511, 1006, 72.939, 0.157, 1004, 1870.844, 13.135, 941, 13.464, 1.580
2014.6250, 2014, 8, 970, 233.851, 0.245, 976, 523.152, 0.619, , , , 985, 82.606, 0.151, 983, 328.138, 0.486, 985, 72.907, 0.147, 976, 1873.524, 16.731, 893, 13.586, 2.207
